_id,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,geometry
611426,May,Monday,2023,9,0.0,YES,NO,NO,Wexford/Maryvale (119),-79.31180577433777,43.747957726758706,MULTIPOINT ((-79.311805774 43.747957727))
611427,May,Monday,2023,13,0.0,NO,NO,YES,Yonge-Bay Corridor (170),-79.38400924458271,43.65643079553456,MULTIPOINT ((-79.384009245 43.6564307960001))
611437,May,Monday,2023,11,0.0,YES,NO,NO,Rosedale-Moore Park (98),-79.37684305633893,43.67235631145995,MULTIPOINT ((-79.376843056 43.672356311))
611443,May,Monday,2023,13,0.0,YES,NO,NO,Roncesvalles (86),-79.44185661937989,43.642098692377104,MULTIPOINT ((-79.441856619 43.642098692))
611468,May,Monday,2023,18,0.0,YES,NO,NO,Wexford/Maryvale (119),-79.31523357097439,43.75786462249319,MULTIPOINT ((-79.315233571 43.757864622))
611471,May,Monday,2023,19,0.0,YES,NO,NO,Trinity-Bellwoods (81),-79.41827062724184,43.64982419443549,MULTIPOINT ((-79.418270627 43.6498241940001))
611588,May,Tuesday,2023,20,0.0,YES,NO,NO,Steeles (116),-79.3095877974216,43.81592058457675,MULTIPOINT ((-79.3095877969999 43.8159205850001))
611666,May,Tuesday,2023,17,0.0,YES,NO,NO,Rosedale-Moore Park (98),-79.38016865558973,43.67455811366177,MULTIPOINT ((-79.380168656 43.674558114))
611707,May,Tuesday,2023,9,0.0,YES,NO,NO,Wychwood (94),-79.42307273254664,43.67557282185469,MULTIPOINT ((-79.423072733 43.675572822))
611721,May,Tuesday,2023,18,0.0,NO,NO,YES,Annex (95),-79.39195614783907,43.67417551579079,MULTIPOINT ((-79.391956148 43.674175516))
611757,May,Tuesday,2023,12,0.0,YES,NO,NO,Runnymede-Bloor West Village (89),-79.47907531857898,43.65049655139373,MULTIPOINT ((-79.479075319 43.6504965510001))
611768,May,Tuesday,2023,13,0.0,YES,NO,NO,Old East York (58),-79.34918031637866,43.6903803021072,MULTIPOINT ((-79.3491803159999 43.690380302))
611769,May,Tuesday,2023,14,0.0,YES,NO,NO,L'Amoreaux West (147),-79.32598867548151,43.79434827839743,MULTIPOINT ((-79.325988675 43.794348278))
611786,May,Tuesday,2023,17,0.0,YES,NO,NO,Oakridge (121),-79.28834606133788,43.69122472524528,MULTIPOINT ((-79.288346061 43.691224725))
611849,May,Wednesday,2023,10,0.0,YES,NO,NO,Hillcrest Village (48),-79.35105033159397,43.80864615235893,MULTIPOINT ((-79.3510503319999 43.8086461520001))
611888,May,Wednesday,2023,16,0.0,YES,NO,NO,Playter Estates-Danforth (67),-79.34610420123646,43.67869556689765,MULTIPOINT ((-79.346104201 43.678695567))
611908,May,Wednesday,2023,22,0.0,YES,NO,NO,Annex (95),-79.41435583681641,43.67315021937087,MULTIPOINT ((-79.4143558369999 43.673150219))
611921,May,Wednesday,2023,9,0.0,YES,NO,NO,Harbourfront-CityPlace (165),-79.39187363604067,43.637651676755404,MULTIPOINT ((-79.391873636 43.6376516770001))
611959,May,Wednesday,2023,12,0.0,NO,YES,NO,Kensington-Chinatown (78),-79.39793503569493,43.65296189280764,MULTIPOINT ((-79.397935036 43.652961893))
611967,May,Wednesday,2023,12,0.0,NO,YES,NO,Yonge-Bay Corridor (170),-79.38517944092271,43.64828098738461,MULTIPOINT ((-79.3851794409999 43.6482809870001))
611980,May,Wednesday,2023,15,0.0,YES,NO,NO,Briar Hill-Belgravia (108),-79.44205407597003,43.704656958704646,MULTIPOINT ((-79.442054076 43.704656959))
612091,June,Thursday,2023,22,0.0,YES,NO,NO,York University Heights (27),-79.4899370200203,43.75931216516314,MULTIPOINT ((-79.48993702 43.759312165))
612112,June,Thursday,2023,20,0.0,NO,YES,NO,Wychwood (94),-79.42243453282256,43.67398882132181,MULTIPOINT ((-79.4224345329999 43.6739888210001))
612120,June,Thursday,2023,15,0.0,NO,YES,NO,Bayview Village (52),-79.38804471609475,43.766584388106,MULTIPOINT ((-79.388044716 43.7665843880001))
612121,June,Thursday,2023,15,0.0,YES,NO,NO,Downsview (155),-79.48547184389557,43.72589174681209,MULTIPOINT ((-79.485471844 43.7258917470001))
612125,June,Thursday,2023,19,0.0,YES,NO,NO,The Beaches (63),-79.31483861853935,43.66232877988148,MULTIPOINT ((-79.3148386189999 43.66232878))
612127,June,Thursday,2023,12,0.0,YES,NO,NO,East Willowdale (152),-79.3996757112637,43.76399148810599,MULTIPOINT ((-79.399675711 43.763991488))
612171,June,Thursday,2023,8,0.0,YES,NO,NO,Wexford/Maryvale (119),-79.30445077451004,43.76035252372874,MULTIPOINT ((-79.304450775 43.760352524))
